Test number,Execution time (ms),Clause number,Clause size,Solution,Flips,Tries
132,4.961915016174316,819,1136,"solution found",0,1
133,2.4685699939727783,338,1310,"solution found",0,1
134,3.877051830291748,540,1326,"solution found",0,1
135,1.3837900161743164,667,364,"solution found",0,1
136,1.6603929996490479,374,832,"solution found",0,1
137,1.7611401081085205,474,691,"solution found",0,1
138,0.04508399963378906,14,486,"solution found",0,1
139,0.21007800102233887,535,64,"solution found",0,1
140,1.2880969047546387,356,745,"solution found",0,1
141,2.6021628379821777,523,989,"solution found",0,1
142,3.554161787033081,1248,527,"solution found",0,1
143,3.3854689598083496,537,1210,"solution found",0,1
144,1.743607997894287,250,1387,"solution found",0,1
145,3.6100831031799316,533,1262,"solution found",0,1
146,2.4516830444335938,578,838,"solution found",0,1
147,2.54282808303833,737,648,"solution found",0,1
148,0.3924741744995117,79,892,"solution found",0,1
149,2.8615918159484863,491,1031,"solution found",0,1
150,5.321247100830078,934,1065,"solution found",0,1
